id,prop,structure
mb-dielectric-0001,1.752063640396657,"System
1.0
8.58608286 0.0 0.0
-4.29304143 7.43576588 0.0
0.0 0.0 5.92085433
S K 
6 6 
direct
0.66666667 0.33333333 0.18113697 S
0.66666667 0.33333333 0.81886303 S
0.33333333 0.66666667 0.81886303 S
0.33333333 0.66666667 0.18113697 S
0.0 0.0 0.67986954 S
0.0 0.0 0.32013046 S
0.0 0.64256139 0.5 K
0.35743861 0.35743861 0.5 K
0.64256139 0.0 0.5 K
0.0 0.3071229 0.0 K
0.6928771 0.6928771 0.0 K
0.3071229 0.0 0.0 K
"
mb-dielectric-0002,1.6528587356456086,"System
1.0
8.46172871 0.0 0.0
0.0 8.46172871 0.0
0.0 0.0 8.46172871
K V O 
12 4 16 
direct
0.46686847 0.53313153 0.03313153 K
0.50934898 0.99065102 0.00934898 K
0.49065102 0.49065102 0.49065102 K
0.96686847 0.96686847 0.96686847 K
0.53313153 0.03313153 0.46686847 K
0.03313153 0.46686847 0.53313153 K
0.22458416 0.77541584 0.27541584 K
0.27541584 0.22458416 0.77541584 K
0.00934898 0.50934898 0.99065102 K
0.99065102 0.00934898 0.50934898 K
0.77541584 0.27541584 0.22458416 K
0.72458416 0.72458416 0.72458416 K
0.73736409 0.76263591 0.23736409 V
0.76263591 0.23736409 0.73736409 V
0.26263591 0.26263591 0.26263591 V
0.23736409 0.73736409 0.76263591 V
0.53763806 0.74009987 0.28847395 O
0.35537785 0.85537785 0.64462215 O
0.85537785 0.64462215 0.35537785 O
0.74009987 0.28847395 0.53763806 O
0.03763806 0.75990013 0.71152605 O
0.24009987 0.21152605 0.46236194 O
0.21152605 0.46236194 0.24009987 O
0.96236194 0.25990013 0.78847395 O
0.28847395 0.53763806 0.74009987 O
0.46236194 0.24009987 0.21152605 O
0.78847395 0.96236194 0.25990013 O
0.64462215 0.35537785 0.85537785 O
0.75990013 0.71152605 0.03763806 O
0.71152605 0.03763806 0.75990013 O
0.14462215 0.14462215 0.14462215 O
0.25990013 0.78847395 0.96236194 O
"
mb-dielectric-0003,1.867857596285113,"System
1.0
5.47470606 3.72999777 0.0
-5.47470606 3.72999777 0.0
0.0 0.0 5.97341874
Rb Zr O 
4 2 6 
direct
0.4797071 0.80609559 0.25620943 Rb
0.19390441 0.5202929 0.75620943 Rb
0.5202929 0.19390441 0.75620943 Rb
0.80609559 0.4797071 0.25620943 Rb
0.91285109 0.91285109 0.73620195 Zr
0.08714891 0.08714891 0.23620195 Zr
0.13431535 0.88634704 0.49282882 O
0.11365296 0.86568465 0.99282882 O
0.65439914 0.65439914 0.70572155 O
0.34560086 0.34560086 0.20572155 O
0.86568465 0.11365296 0.99282882 O
0.88634704 0.13431535 0.49282882 O
"
mb-dielectric-0004,2.67688749607948,"System
1.0
4.64809308 0.0 0.0
0.0 4.64809308 0.0
0.0 0.0 6.26816715
Mn O F 
4 4 4 
direct
0.97123284 0.97123284 0.0 Mn
0.02876716 0.02876716 0.5 Mn
0.52876716 0.47123284 0.25 Mn
0.47123284 0.52876716 0.75 Mn
0.17615485 0.82384515 0.75 O
0.32384515 0.32384515 0.5 O
0.67615485 0.67615485 0.0 O
0.82384515 0.17615485 0.25 O
0.22437983 0.77562017 0.25 F
0.27562017 0.27562017 0.0 F
0.72437983 0.72437983 0.5 F
0.77562017 0.22437983 0.75 F
"
mb-dielectric-0005,1.7932323701442967,"System
1.0
-4.36742797 0.00258988 -0.01797096
-0.0094602 4.02560589 1.68932448
-2.18707389 11.76361097 0.16492746
Li Co Si O 
2 1 1 4 
direct
0.75098188 0.2610355 0.49609246 Li
0.25035189 0.76177254 0.49576339 Li
0.50024793 0.50972058 0.99573061 Co
0.00010893 0.0082781 0.99670207 Si
0.89447303 0.3500521 0.77335834 O
0.6730584 0.66884479 0.21920195 O
0.3278696 0.78530988 0.77247837 O
0.10600235 0.23808652 0.21844581 O
"
mb-dielectric-0006,1.6774943616398088,"System
1.0
5.5355334 0.00430452 3.1764448
1.84154848 5.22023487 3.1764448
0.006078 0.00430452 6.38215531
Ca Tl F 
2 2 6 
direct
0.00664185 0.00664185 0.00664185 Ca
0.50664185 0.50664185 0.50664185 Ca
0.26934432 0.26934432 0.26934432 Tl
0.76934432 0.76934432 0.76934432 Tl
0.24116015 0.81374195 0.69761074 F
0.81374195 0.69761074 0.24116015 F
0.69761074 0.24116015 0.81374195 F
0.19761074 0.31374195 0.74116015 F
0.74116015 0.19761074 0.31374195 F
0.31374195 0.74116015 0.19761074 F
"
mb-dielectric-0007,5.083371584555542,"System
1.0
7.52436384 0.0 0.0
-3.76218192 6.51629023 0.0
0.0 0.0 6.03370958
Se Pd Tl 
6 4 2 
direct
0.83020892 0.16979108 0.20940922 Se
0.83020892 0.66041783 0.20940922 Se
0.33958217 0.16979108 0.20940922 Se
0.66041783 0.83020892 0.79059078 Se
0.16979108 0.83020892 0.79059078 Se
0.16979108 0.33958217 0.79059078 Se
0.0 0.0 0.0 Pd
0.0 0.5 0.0 Pd
0.5 0.0 0.0 Pd
0.5 0.5 0.0 Pd
0.66666667 0.33333333 0.64387185 Tl
0.33333333 0.66666667 0.35612815 Tl
"
mb-dielectric-0009,3.3691739838376957,"System
1.0
3.42717838 0.1204927 6.79265199
1.7112932 2.97179167 6.79265199
0.2002236 0.1204927 7.6056284
Se Mo 
2 1 
direct
0.59082049 0.59082049 0.59082049 Se
0.74228917 0.74228917 0.74228917 Se
0.33322367 0.33322367 0.33322367 Mo
"
mb-dielectric-0011,1.9084626448182505,"System
1.0
5.51823055 -0.00594555 0.02099277
0.02089043 5.51819421 0.02099277
-0.00597454 -0.00594555 5.51826724
Cl Ge Cs 
3 1 1 
direct
0.05060609 0.50327927 0.50327927 Cl
0.50327927 0.50327927 0.05060609 Cl
0.50327927 0.05060609 0.50327927 Cl
0.48676176 0.48676176 0.48676176 Ge
7.362e-05 7.362e-05 7.362e-05 Cs
"
mb-dielectric-0012,1.8904877677467269,"System
1.0
4.5759722 0.0 -1.69645799
0.0 6.13360484 0.0
-0.14067927 0.0 6.64030662
O Rb Au 
4 2 2 
direct
0.89093392 0.50463635 0.78186784 O
0.10906608 0.49536365 0.21813216 O
0.89093392 0.99536365 0.78186784 O
0.10906608 0.00463635 0.21813216 O
0.3020656 0.75 0.60413121 Rb
0.6979344 0.25 0.39586879 Rb
0.99755621 0.25 0.99511242 Au
0.00244379 0.75 0.00488758 Au
"
